titulo,subtitulo,data,autor,texto
Barroso lança livro sobre Inteligência Artificial em Brasília,Presidente do STF fez sessão de autógrafos na noite desta 3ª feira (20.ago) em evento que reuniu diversas autoridades,20.ago.2024 (terça-feira) - 23h28,PODER360,"O presidente doSTF(Supremo Tribunal Federal), Roberto Barroso, lançou nesta 3ª feira (20.ago.2024) um livro sobre Inteligência Artificial em que reúne reflexões acerca de plataformas digitais, mudanças climáticas, democracia, populismo autoritário e o aumento da desinformação e dos discursos de ódio.
A obra “Inteligência Artificial, Plataformas Digitais e Democracia – Direito e tecnologia no mundo atual” foi lançado no Soho Brasília, no Pontão do Lago Sul da capital.
O evento contou com a presença de diversas autoridades, dentre elas alguns ministros do Supremo como Cristiano Zanin, Alexandre de Moraes, Luiz Fux e Gilmar Mendes.
Também estiveram presentes as seguintes autoridades:
Bruno Dantas, presidente do TCU (Tribunal de Contas da União),
Daniela Teixeira, ministra do STJ (Superior Tribunal de Justiça);
José Múcio Monteiro, ministro da Defesa;
Ricardo Lewandowski, ministro da Justiça e Segurança Pública e ministro aposentado do STF;
Luis Felipe Salomão, corregedor nacional de Justiça;
Benedito Gonçalves, ministro do TSE (Tribunal Superior Eleitoral);
André Ramos Tavares, ministro do TSE;
Jorge Messias, ministro chefe da AGU (Advocacia Geral da União).
Ao longo da noite, Barroso fez uma sessão de autógrafos com os presentes que adquiriram a obra. O evento teve início às 18h30, e às 23h ainda havia pessoas na fila para pegar o autógrafo do ministro.
No livro, Barroso propõe um olhar crítico acerca dos temas tratados, que ajuda a“empurrar a história na direção do bem, da justiça e do avanço civilizatório”. Ele afirma que a IA, com suas potencialidades e riscos, compõe, com o avanço da internet, o início de uma 4ª revolução industrial.“Por isso mesmo, é imperativa a sua regulação adequada”, afirma na introdução.
Em outro capítulo, o ministro analisa o impacto das transformações tecnológicas sobre a democracia. Por fim, trata do enfrentamento à mudança climática, um compromisso que se tornou“uma dramática questão de direitos humanos atuais, já que o problema começa a afetar gravemente a vida aqui e agora”."
Marçal apaga 4º vídeo com críticas a Boulos após decisão da Justiça,"Segundo o TRE de São Paulo, o conteúdo não tem “relevância política-eleitoral” e é de caráter “difamatório”",20.ago.2024 (terça-feira) - 23h21,Autor não encontrado,"O candidato à Prefeitura de São PauloPablo Marçal(PRTB) apagou nesta 3ª feira (20.ago.2024) um vídeo com conteúdo considerado ofensivo contra o também candidato e deputado federal,Guilherme Boulos(Psol), depois de oTRE-SP(Tribunal Regional Eleitoral de São Paulo) ter determinado a retirada do conteúdo em 24 horas. Segundo a Justiça Eleitoral, o material postado por Marçal era“difamatório”e sem“relevância política-eleitoral”. Trata-se do 4º conteúdo excluído das redes sociais de Marçal contra o psolista por medida judicial. Eis aíntegrada decisão (PDF – 36 kB)."
Kamala aceita de forma simbólica nomeação do Partido Democrata,"Democrata diz estar “honrada” por receber indicação; esteve presente em comício em Milwaukee junto a seu vice, Tim Walz",20.ago.2024 (terça-feira) - 23h08,PODER360,"A vice-presidente dos Estados Unidos,Kamala Harris, aceitou nesta 3ª feira (20.ago.2024), de forma simbólica, a nomeação do Partido Democrata para concorrer à Casa Branca pela sigla.A democrataesteve junto ao vice, o governador de MinnesotaTim Walz, em um comício em Milwaukee (Wisconsin).
Kamala afirmou estar“honrada”por receber a indicação.“Esta é uma campanha movida pelo povo e juntos traçaremos um novo caminho a seguir”, afirmou. A declaração foi transmitida ao vivo na Convenção Nacional do Partido Democrata, no United Center, em Chicago.
Apesar da confirmação da indicação de delegados de Wisconsin e de outros Estados, como Califórnia, a democrata ainda não fez o discurso oficial para aceitar a nomeação democrata. A expectativa é que a vice-presidente discurse na convenção na 5ª feira (22.ago) –último dia do evento.
Assista a um trecho do discurso desta 3ª feira (47s):

A nomeação deKamala a tornará a 1ª mulher negra indicada por um grande partido político dos EUA para a Casa Branca.
A Convenção Nacional do Partido Democrata deste ano é realizada de um modo atípico.
Pelo fato de o presidente Joe Biden (Partido Democrata) ter desistido de sua campanha presidencial depois de ter conseguido o número necessário para sua nomeação, os democratas fizeram no início de agosto uma votação nominal e virtual com os delegados que apoiavam Biden.
A vice-presidente norte-americana conseguiu 99% do apoio dos 4.615 delegados que votaram. Assim, manifestações de delegados contrários a Kamala e a Walz, a contagem de votos e o discurso de aceitação da nomeação poderão ser feitos de modo simbólico, sem validade prática."
Janja participa da cerimônia de Restauração do Palácio da Justiça,"Primeira-dama foi convidada pelo ministro da Justiça, Ricardo Lewandowski, a participar do evento",20.ago.2024 (terça-feira) - 23h01,PODER360,"A primeira-dama, Janja Lula da Silva, participou nesta 3ª feira (20.ago.2024) dacerimônia de lançamento dos projetos de restauração do Palácio da Justiça e do Centro de Memória do Ministério da Justiça e Segurança Pública.
A mulher do presidenteLuiz Inácio Lula da Silva(PT) compareceu ao evento a convite do ministro da Justiça, Ricardo Lewandowski. A ministra da Cultura, Margareth Menezes, também esteve presente.
“Preservar a memória é essencial para contarmos a história do nosso país”,declarouJanja nas redes sociais. A primeira-dama disse ainda que a obra irá ajudar a população a conhecer mais do passado de Brasília e do Brasil."
"Trump não tem empatia moral, diz ex-secretária do republicano","Ex-apoiadores discursam no 2º dia da Convenção Nacional do Partido Democrata, que formalizará campanha de Kamala",20.ago.2024 (terça-feira) - 22h05,PODER360,"A ex-secretária de imprensa da Casa Branca do governo de Donald Trump (Partido Republicano), Stephanie Grisham,afirmouque o ex-presidente“não tem empatia moral”. Ex-apoiadores do republicano discursam nesta 3ª feira (20.ago.2024) no 2º dia da Convenção Nacional do Partido Democrata, que formalizará a campanha da vice-presidente Kamala Harris.
“A família Trump se tornou minha família. Passei a Páscoa, o Dia de Ação de Graças, o Natal e o Ano Novo, tudo em Mar-a-Lago. Eu o vi quando as câmeras estavam desligadas, a portas fechadas, Trump zomba de seus apoiadores — ele os chama de moradores de porão”, declarouStephanie Grisham.“Ele não tem empatia, moral e fidelidade à verdade”, completou.
A ex-secretária de Trump também afirmou estar defendendo a vice-presidente Kamala Harris por amar os Estados Unidos mais que o Partido Republicano.“[Estou] defendendo uma democrata e isso é porque eu amo meu país mais do que meu partido. Kamala Harris diz a verdade, ela respeita o povo norte-americano e tem meu voto”, disse.
Além de ter trabalhado como secretária de imprensa do governo Trump,Stephanie atuou como chefe de gabinete da mulher do ex-presidente, Melania Trump.
Em discurso, Grisham recordou o momento de ter deixado de trabalhar com Trump, que se deu depois de ter pedido à Melania Trump para condenar a invasão do Capitólio, em 6 de janeiro de 2021, mas foi rejeitada pela primeira-dama. Segundo ela, isso a fez passar a apoiar a candidatura anti-Trump.
Outro ex-apoiador de Donald Trump também discursou no 2º dia do evento.Kyle Sweetser afirmou que votará na democrata, pois ela deixará a população“orgulhosa”de ser norte-americanos novamente.
“Estou votando em Kamala Harris porque ela nos fará ter orgulho de sermos americanos novamente”, declarou."
Empresário doa R$ 100 mil para campanha de Marçal em SP,"Helio Seibel, 71 anos, é fundador da HS Investimentos e dono do Grupo Ligna; candidato declarou 5 doações até o momento",20.ago.2024 (terça-feira) - 21h57,PODER360,"O empresário Helio Seibel, 71 anos, doou R$ 100 mil para a campanha do candidato à Prefeitura de São PauloPablo Marçal(PRTB). O valor foi registrado noDivulgaCand, portal do TSE (Tribunal Superior Eleitoral), na 2ª feira (19.ago.2024).
O bilionário é fundador daHS Investimentose dono do Grupo Ligna, controlador da Leo Madeiras, da Klabin, do Espaço Negócios Imobiliários. Também tem participação da Dexco e na Gera Maranhão, dentre outras.
Marçal já havia recebido outra doação à sua campanha eleitoral do mesmo valor de Helvio Paulo Ferro Filho. O empresáriofoi preso em flagrante em 2022 por porte ilegal de arma. O processo foi extinto em 2023, depois de acordo com o Ministério Público do Estado de Goiás.
O coach declarou à Justiça ter recebido 5 doações até a publicação desta reportagem, no total de R$ 214.595,37:
Helio Seibel: R$ 100 mil;
Helvio Ferro: R$ 100 mil;
Thierry Campos: R$ 10.000;
Fabio Del Monaco Dos Santos Lopes E Avelar:R$ 3.000; e
Henrique Camara Ferreira:R$ 1.595,37.
Leia mais:
Saiba quem são os maiores doadores nas eleições até agora;
Marçal pede Pix para ajudar na campanha pela Prefeitura de SP."
Lula recebe pré-candidatas à presidência do Senado no Planalto,Eliziane Gama e Soraya Thronicke disseram querer que haja ao menos uma mulher na disputa; petista disse não interferir,20.ago.2024 (terça-feira) - 21h48,Mateus Maia repórter,"O presidenteLuiz Inácio Lula da Silva(PT) recebeu nesta 3ª feira (20.ago.2024) as pré-candidatas à presidência do SenadoSoraya Thronicke(Podemos-MS) eEliziane Gama(PSD-MA) no Palácio do Planalto, em Brasília. Elas pediram o encontro para informar sobre o acordo que fizeram para haver ao menos uma mulher na disputa de 2025. O petista, entretanto, respondeu que um presidente de Poder não interfere nas eleições dos outros.
O encontro não apareceu diretamente na agenda de Lula, que registrou um encontro só com o ministro das Relações Institucionais, Alexandre Padilha, às 18h. Com cerca de uma hora de atraso, a reunião começou com ele e com as senadoras. Thronicke e Eliziane tiraram uma foto com o presidente, registrada por Ricardo Stuckert, fotógrafo do petista e da Presidência da República.
Apesar de evitar se comprometer, o presidente teria dito às senadoras que é muito significativo ter mulheres em disputas desse tipo. Quem preside o Senado também ocupa o cargo de presidente do Congresso Nacional.
EmentrevistaaoPoder360no começo do mês, Thronicke disse que o favoritismo deDavi Alcolumbre(União-AP) para assumir o comando do Senado em fevereiro de 2025 é incerto.
Segundo a congressista, que foi lançada como candidata à presidência da Casa Alta pelo Podemos, há certo descontentamento em torno do nome de Alcolumbre.
Apesar de não falar de nenhum apoio público, o governo Lula deve apoiar a candidatura de Davi Alcolumbre (União Brasil-AP), aliado desde o início do 3º mandato lulista.
À época, a senadora já dizia que havia buscado apoio do governo, mas sem sucesso até então. Agora, ouviu que Lula não deve interferir no pleito. O presidente já disse que não pretende apoiar nenhum nome oficialmente no Senado ou na Câmara.
Ainda assim, as senadoras saíram da reunião com pelo menos mais um encontro pré-agendado. Isso porque a primeira-dama Janja da Silva não esteve na reunião desta 3ª feira (20.ago). Por isso, ficou combinado de haver uma nova agenda para que a primeira-dama também faça uma foto com ambas.
A ideia das senadoras é de que é preciso haver ao menos uma mulher na disputa. Sendo assim, firmaram uma parceria de serem pré-candidatas e, mais próximo da eleição, decidirem qual tem mais chance de vencer. Esta será a candidata oficialmente."
Lira cria comissão para monitorar investigações da queda do avião Voepass,Presidente da Câmara designou 37 deputados para acompanhar desdobramentos de acidente que matou 62 pessoas em Vinhedo (SP),20.ago.2024 (terça-feira) - 21h37,Maria Laura Giuliani redatora,"O presidente da Câmara dos Deputados,Arthur Lira(PP-AL), criou uma comissão externa para acompanhar as investigações da queda do avião da Voepass (antiga Passaredo) em 9 de agosto de 2024. O acidente foi em Vinhedo (SP) e matou 62 pessoas.
Lira deu aval ao colegiado na 2ª feira (19.ago.2024), mas a Câmara publicou a decisão nesta 3ª feira (20.ago). Eis aíntegra(2 MB – PDF). A comissão terá 37 deputados (leia abaixo quem são).
A queda do avião ATR 72-500 é considerado o acidente mais grave na aviação comercial brasileira desde 2007.
O colegiado foi um pedido do deputadoBruno Ganem(Podemos-SP), que também integra a Comissão de Viação e Transportes da Câmara, que é fixa. Ganem será o coordenador do colegiado.
Saiba quais deputados integram a comissão:
Alencar Santana (PT-SP);
Alfredo Gaspar (União Brasil-AL);
Bruno Ganem (Podemos-SP);
Cezinha de Madureira (PSD-SP);
Cristiane Lopes (União Brasil-RO);
Célio Silveira (MDB-GO);
Célio Studart (PSD-CE);
Daniel José (Podemos-SP);
Daniela Reinehr (PL-SC);
Delegado Matheus Laiola (União Brasil-PR);
Delegado Paulo Bilynskyj (PL-SP);
Douglas Viegas (União Brasil-SP);
Dr. Fernando Máximo (União Brasil-RO);
Dr. Victor Linhalis (Podemos-ES);
Dr. Zacharias Calil (União Brasil-GO);
Eliza Virgínia (PP-PB);
Filipe Martins (PL-TO);
Fred Linhares (Republicanos-DF);
Gilson Daniel (Podemos-ES);
Jefferson Campos (PL-SP);
José Medeiros (PL-MT);
Kim Kataguiri (União Brasil-SP);
Lafayette de Andrada (Republicanos-MG);
Laura Carneiro (PSD-RJ);
Luiz Philippe de Orleans e Bragança (PL-SP);
Marcos Pollon (PL-MS);
Nilto Tatto (PT-SP);
Padovani (União Brasil-PR);
Pastor Gil (PL-MA);
Pedro Aihara (PRD-MG);
Ricardo Silva (PSD-SP);
Romero Rodrigues (Podemos-PB);
Sargento Portugal (Podemos-RJ);
Saullo Vianna (União Brasil-AM);
Socorro Neri (PP-AC);
Tabata Amaral (PSB-SP);
Vitor Lippi (PSDB-SP).
O avião havia saído de Cascavel, no Paraná, com destino ao aeroporto de Guarulhos, em São Paulo. Não houve sobreviventes. Até o momento, não há confirmação oficial da causa da queda do voo 2283 da Voepass.
A investigação é conduzida pelo Cenipa (Centro de Investigação e Prevenção de Acidentes Aeronáuticos), da FAB (Força Aérea Brasileira). O relatório preliminar deve ser divulgado até 11 de setembro."
1ª moeda de libra com imagem de Charles 3º entra em circulação,"Além do rosto do monarca, as moedas contém imagens inspiradas em plantas e animais do Reino Unido",20.ago.2024 (terça-feira) - 21h11,PODER360,"As novas moedas doReino Unidoentraram em circulação no país nesta 3ª feira (20.ago.2024), segundo anúncio feito pela produtoraRoyal Mint.
As novas moedas marcam o reinado de Charles 3º, que assumiu o trono depois da morte da rainha Elizabeth 2ª em setembro de 2022. As moedas, além do rosto do rei, têm na frente imagens inspiradas em plantas e animais das 4 nações que compõem o Reino Unido.
No total, são 8 designs revelados pela Royal Mint, que, no futuro, substituirão as moedas que representavam a rainha Elizabeth. As antigas moedas continuam em circulação no país.
Veja imagens das moedas com imagem de Charles 3º:
Um dos líderes da Royal Mint, Gordon Summers, supervisionou cada design junto a um comitê do órgão, além do próprio Rei Charles, que, segundo a companhia, observou o processo de criação. As moedas foram feitas em parceria com a Sociedade Real de Horticultura e da Sociedade Real de Proteção aos Pássaros."
Eduardo Bolsonaro e Nikolas convocam ato por impeachment de Moraes,"Em vídeo divulgado nas redes sociais, políticos dizem que saída do ministro é a “real chance” de retomar a democracia",20.ago.2024 (terça-feira) - 21h06,PODER360,"Os deputados federaisEduardo Bolsonaro(PL-SP),Nikolas Ferreira(PL-MG),Júlia Zanatta(PL-SC),Gustavo Gayer(PL-GO) eBia Kicis(PL-DF) se uniram ao senadorMagno Malta(PL-ES) e a pastor Silas Malafaia em umvídeoconvocando apoiadores para um ato pelo impeachment do ministro Alexandre de Moraes, do STF (Supremo Tribunal Federal).
A manifestação pelo pedido de impeachment foi marcada para 7 de setembro na av. Paulista, em São Paulo (SP). Émotivada pela troca de mensagens que sugerem que Moraes teriausado o TSE (Tribunal Superior Eleitoral) de maneira informalpara embasar inquéritos contra apoiadores do ex-presidenteJair Bolsonaro(PL) na Suprema Corte. O caso foi divulgado pelo jornalFolha de S.Paulo.
“Há muito tempo a democracia brasileira anda mal das pernas, a gente sabe disso. O que a gente não sabia era apenas como era executada toda essa atrocidade”,declara Eduardo Bolsonaro no vídeo divulgado nesta 3ª feira (20.ago.2024).
Os congressistas dizem que oimpeachment de Moraes, que é chamado de“ditador da toga”, é a“real chance”de retomar a“democracia”e a“Constituição”. E para isso seria necessário a mobilização popular.
Assista (1min59s):

Leia mais:
Petição por impeachment de Moraes chega a 840 mil assinaturas."
